keyword,page,listing_type,asin,title,price,rating,reviews,product_url,seller_name,seller_email,seller_phone,seller_country,seller_type,total_products,suggested_service,seller_page_url,scraped_at
hemp oil,1,Organic,B0FYNNX64C,"Natural Oil Rich in Omega 3-6-9 and Vitamin C & E, Vegan, GMO Free, 60ml","PKR 5,834.48",4.3,9724027,https://www.amazon.de/dp/B0FYNNX64C,LKJTES,LanKaijie7618@outlook.com,+8617637526535,CN,Privately-owned business,,A+ Content,https://www.amazon.de/-/en/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A358YI4Y2UCYE4&asin=B0FYNNX64C&ref_=dp_merchant_link&isAmazonFulfilled=1,2026-05-19 16:14
hemp oil,1,Organic,B09CCL39DV,Hemp Oil Drops 60 ml - 2000 mg Pure Hemp Seed Oil - Vegan Hemp Seed Oil Cold Pressed - Hemp Oil - Gluten Free - From WeightWorld,"PKR 8,104.71",4.2,13507845,https://www.amazon.de/dp/B09CCL39DV,Comfort Click,master@shytobuy.com,+447973624989,GB,Privately-owned business,167,PPC,https://www.amazon.de/-/en/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AE7C3LYRWNWKP&asin=B09CCL39DV&ref_=dp_merchant_link&isAmazonFulfilled=1,2026-05-19 16:15
hemp oil,1,Organic,B072HMGLWL,"Kräuterland Organic Hemp Oil 2 x 250 ml (500 ml), Cold-Pressed Hemp Seed Oil, Natural without Additives, Vegan & GMO Free, Suitable for Skin and Hair, Premium Quality","PKR 4,832.34",4.7,966468,https://www.amazon.de/dp/B072HMGLWL,Kräuterland Natur-Ölmühle GmbH,amazon@kraeuterland.de,+4930577131020,IT,Privately-owned business,102,PPC,https://www.amazon.de/-/en/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A37VV1BX730QNR&asin=B072HMGLWL&ref_=dp_merchant_link&isAmazonFulfilled=1,2026-05-19 16:15
hemp oil,1,Organic,B09HKMPDWR,Naturfriend® Premium Hemp Oil High Dose Hemp Seed Oil Hemp Drops Omega 3-6-9 Oil Fatty Acids Hemp Drops with Terpenes Flavonoids - Made in Germany - 10 ml,"PKR 5,497.19",4.2,54971901,https://www.amazon.de/dp/B09HKMPDWR,MARKEN-SHOP,ahaljan@googlemail.com,+49 1573 9219166,,,23,A+ Content,https://www.amazon.de/-/en/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1D2FG0G5F82SE&asin=B09HKMPDWR&ref_=dp_merchant_link&isAmazonFulfilled=1,2026-05-19 16:15
hemp oil,1,Organic,B071NLCMHL,"Kräuterland Organic Hemp Oil Bio Certified 1 Litre 4 x 100 ml Cold Pressed 100% Natural and Pure, Purely Native, Ground Direct by Manufacturer Kräuterland Premium Quality","PKR 8,075.52",4.7,807552,https://www.amazon.de/dp/B071NLCMHL,Kräuterland Natur-Ölmühle GmbH,amazon@kraeuterland.de,+4930577131020,IT,Privately-owned business,102,PPC,https://www.amazon.de/-/en/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A37VV1BX730QNR&asin=B071NLCMHL&ref_=dp_merchant_link&isAmazonFulfilled=1,2026-05-19 16:15
hemp oil,1,Organic,B0GRBCBMP9,Hemp Oil Drops - Premium Hemp Seed Oil High Dose (30 mg per Daily Dose) with Omega 3-6-9 Profile - Hemp Seed Oil for Conscious Lifestyle - 30 ml - ELEVORO,"PKR 7,280.94",5.0,24269689,https://www.amazon.de/dp/B0GRBCBMP9,cannapine,cannapineamazon@gmail.com,+4915755183806,,,2,A+ Content,https://www.amazon.de/-/en/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1OY4DVKNGJZW2&asin=B0GRBCBMP9&ref_=dp_merchant_link&isAmazonFulfilled=1,2026-05-19 16:16
hemp oil,1,Organic,B07TYY1QJ3,"Hemp Oil Vegan Softgels - 1000 mg Cold Pressed Hemp Seed Oil - Rich in Omega3, 6 & 9 - With Alpha Linolenic Acid, Linoleic Acid & Oleic Acid - 1 Soft Capsule Daily - 6 Months Supply - Hemp Seed Oil - WeightWorld","PKR 5,348.00",4.4,2919,https://www.amazon.de/dp/B07TYY1QJ3,Comfort Click,master@shytobuy.com,+447973624989,GB,Privately-owned business,167,PPC,https://www.amazon.de/-/en/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AE7C3LYRWNWKP&asin=B07TYY1QJ3&ref_=dp_merchant_link&isAmazonFulfilled=1,2026-05-19 16:16
hemp oil,1,Organic,B09TBJGCWS,"Animigo Pure Hemp Oil for Dogs - 60 ml Cold Pressed Hemp Seed Oil with Omega 3, 6 & 9 - Free from Additives - Hemp Seed Oil for Animals - For All Sizes and Breeds","PKR 4,958.82",4.0,8264596,https://www.amazon.de/dp/B09TBJGCWS,Comfort Click,master@shytobuy.com,+447973624989,GB,Privately-owned business,167,PPC,https://www.amazon.de/-/en/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AE7C3LYRWNWKP&asin=B09TBJGCWS&ref_=dp_merchant_link&isAmazonFulfilled=1,2026-05-19 16:16
hemp oil,1,Organic,B07H7QKR43,"Organic skin oil, 100 ml, cold pressed, 100 % natural, for face and body care, massage oil, against wrinkles, dry skin and anti-ageing.","PKR 3,859.38",4.4,3859384,https://www.amazon.de/dp/B07H7QKR43,Kräuterland Natur-Ölmühle GmbH,amazon@kraeuterland.de,+4930577131020,IT,Privately-owned business,102,PPC,https://www.amazon.de/-/en/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A37VV1BX730QNR&asin=B07H7QKR43&ref_=dp_merchant_link,2026-05-19 16:17
hemp oil,1,Organic,B082H53W4P,Hemp Protein DE,"PKR 3,239.94",4.4,1295975,https://www.amazon.de/dp/B082H53W4P,IWO - Commerce,ilja.amazon@gmail.com,+4915777024065,DE,Privately-owned business,13,A+ Content,https://www.amazon.de/-/en/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A28YZ7P8R849EN&asin=B082H53W4P&ref_=dp_merchant_link&isAmazonFulfilled=1,2026-05-19 16:17
